date,home_team,away_team,home_score,away_score,tournament
2026-06-19,Scotland,Morocco,,,FIFA World Cup
2026-06-19,Brazil,Haiti,,,FIFA World Cup
2026-06-19,United States,Australia,,,FIFA World Cup
2026-06-19,Turkey,Paraguay,,,FIFA World Cup
2026-06-20,Germany,Ivory Coast,,,FIFA World Cup
2026-06-20,Ecuador,Curacao,,,FIFA World Cup
2026-06-20,Netherlands,Sweden,,,FIFA World Cup
2026-06-20,Tunisia,Japan,,,FIFA World Cup
2026-06-21,Belgium,Iran,,,FIFA World Cup
2026-06-21,New Zealand,Egypt,,,FIFA World Cup
2026-06-21,Spain,Saudi Arabia,,,FIFA World Cup
2026-06-21,Uruguay,Cape Verde,,,FIFA World Cup
2026-06-22,France,Iraq,,,FIFA World Cup
2026-06-22,Norway,Senegal,,,FIFA World Cup
2026-06-22,Argentina,Austria,,,FIFA World Cup
2026-06-22,Jordan,Algeria,,,FIFA World Cup
2026-06-23,Portugal,Uzbekistan,,,FIFA World Cup
2026-06-23,Colombia,DR Congo,,,FIFA World Cup
2026-06-23,England,Ghana,,,FIFA World Cup
2026-06-23,Panama,Croatia,,,FIFA World Cup
2026-06-24,Mexico,Czech Republic,,,FIFA World Cup
2026-06-24,South Africa,South Korea,,,FIFA World Cup
2026-06-24,Canada,Switzerland,,,FIFA World Cup
2026-06-24,Bosnia and Herzegovina,Qatar,,,FIFA World Cup
2026-06-24,Scotland,Brazil,,,FIFA World Cup
2026-06-24,Morocco,Haiti,,,FIFA World Cup
2026-06-25,United States,Turkey,,,FIFA World Cup
2026-06-25,Paraguay,Australia,,,FIFA World Cup
2026-06-25,Curacao,Ivory Coast,,,FIFA World Cup
2026-06-25,Ecuador,Germany,,,FIFA World Cup
2026-06-25,Japan,Sweden,,,FIFA World Cup
2026-06-25,Tunisia,Netherlands,,,FIFA World Cup
2026-06-26,Egypt,Iran,,,FIFA World Cup
2026-06-26,New Zealand,Belgium,,,FIFA World Cup
2026-06-26,Cape Verde,Saudi Arabia,,,FIFA World Cup
2026-06-26,Uruguay,Spain,,,FIFA World Cup
2026-06-26,Norway,France,,,FIFA World Cup
2026-06-26,Senegal,Iraq,,,FIFA World Cup
2026-06-27,Algeria,Austria,,,FIFA World Cup
2026-06-27,Jordan,Argentina,,,FIFA World Cup
2026-06-27,Colombia,Portugal,,,FIFA World Cup
2026-06-27,DR Congo,Uzbekistan,,,FIFA World Cup
2026-06-27,Panama,England,,,FIFA World Cup
2026-06-27,Croatia,Ghana,,,FIFA World Cup
